river,date,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean
Nyengwe,2014-10-01,2014,10,0.4080645161290323,5.38,29.835483870967742,19.99,154.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.923902728494625,20.506680000000017,26.49023,225.32177003378,0.6995239454365592,0.1825198726145161,18.856012405913987,101165.40595430108
Nyengwe,2014-11-01,2014,11,0.4610000000000001,15.26,29.19333333333333,20.093333333333337,134.9,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.528425500000026,20.84872000000001,26.14016000000004,313.55190241962,0.4846690501123153,0.5140630496113889,19.26164920833338,101160.1358888889
Nyengwe,2014-12-01,2014,12,0.5896774193548387,11.14,28.50967741935484,19.98387096774193,147.99999999999997,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.28992870967744,20.845200000000037,25.868520000000046,418.15185552418,0.2480994524363306,0.6501081747849462,19.496872822580656,101233.19949596774
Nyengwe,2015-01-01,2015,1,0.5929032258064516,10.96,28.887096774193555,20.13548387096774,111.39999999999998,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.29364986559142,20.321740000000037,26.15500000000003,395.17068820874,0.2799653028056452,0.3970246063396505,19.223377607526917,101267.20745967742
Nyengwe,2015-02-01,2015,2,0.6417857142857143,15.73,29.35,19.414285714285715,73.39999999999999,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.924218497023787,21.15634,27.63015000000001,275.4387857218,0.1813367196226488,0.4980042982310119,19.58552944940476,101116.51945684524
Nyengwe,2015-03-01,2015,3,0.8293548387096775,10.64,28.922580645161297,20.3,155.29999999999998,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.74741866935489,21.05630000000002,27.052700000000016,419.89755558932,0.4610146963513441,0.4812752916502688,19.77403306451617,101158.08797715054
Nyengwe,2015-04-01,2015,4,1.1226666666666667,14.25,28.579999999999995,20.280000000000005,173.4,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.055688152777805,20.71246000000002,26.147970000000043,425.68922050046,0.3407575397526666,0.3753116189815278,19.402762722222235,101314.55881944444
Nyengwe,2015-05-01,2015,5,1.104516129032258,5.65,29.116129032258076,19.61935483870968,74.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.08918463709682,20.81765000000001,25.485600000000037,335.27278956226,0.7157237969349463,0.2425222298130913,19.73939776881724,101391.00595430109
Nyengwe,2015-06-01,2015,6,0.985,1.58,29.47,19.586666666666662,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.823531583333363,21.184230000000014,26.104030000000023,44.1269874332,0.99180062626875,-0.0712644766525555,17.923075458333358,101411.32611805556
Nyengwe,2015-07-01,2015,7,0.9203225806451611,0.65,30.35,17.84516129032258,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.4903139247312,20.67184000000003,26.17690000000005,31.22615815834,1.0289991057764785,0.2019306517264045,17.316414368279595,101447.24122311828
Nyengwe,2015-08-01,2015,8,0.8790322580645165,0.33,31.600000000000005,17.812903225806448,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,24.26741752688173,21.2396,26.959040000000016,8.66222387066,0.9790313666817204,0.3196550597931451,16.74023610215056,101332.19380376344
Nyengwe,2015-09-01,2015,9,0.8369999999999999,0.21,31.273333333333326,19.606666666666666,23.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,25.158371819444483,22.687520000000006,27.22784000000001,85.09874347408,0.8954430701808332,-0.1405731208058888,18.38384038888887,101202.20311805556
Nyengwe,2015-10-01,2015,10,0.8883870967741937,0.9,29.687096774193552,20.496774193548383,107.5,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,24.252625564516165,21.367580000000032,27.16420000000005,365.15903630922,0.7045770882254032,0.0966402485208333,19.374717150537663,101213.41423387096
Nyengwe,2015-11-01,2015,11,0.984,9.13,28.250000000000004,20.23333333333333,184.7,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.242535180555592,20.35537000000005,25.95275000000004,464.30683162576,0.2545047121236111,0.4958868028615278,19.45505281944446,101223.45421527776
Nyengwe,2015-12-01,2015,12,1.0777419354838709,11.88,28.54137931034483,20.43,166.29999999999998,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.525684973118302,21.074670000000022,26.17500000000001,319.64254332828,0.2727159278462365,0.6379478607885618,19.614500564516163,101345.94532930107
Nyengwe,2016-01-01,2016,1,1.177741935483871,12.02,28.954838709677414,21.15483870967742,224.7,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.85038754032263,21.55364000000003,26.79916000000003,312.95156498774,0.3156599441990591,0.323076823666129,20.149584086021548,101286.66911962366
Nyengwe,2016-02-01,2016,2,1.19,15.83,29.32068965517241,20.97241379310345,111.3,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,24.13076110632187,21.30724000000004,27.116270000000043,443.9349169431,0.3334745642672413,0.3103302044989942,20.374061077586248,101219.23931752871
Nyengwe,2016-03-01,2016,3,1.1483870967741936,15.44,29.993548387096773,20.79032258064516,185.1,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,24.754358803763463,21.15243000000004,27.57424000000003,366.89805971354,0.2556367609262097,0.4991228056462365,20.827576545698943,101176.79600806451
Nyengwe,2016-04-01,2016,4,1.2239999999999998,12.97,28.906666666666677,21.086666666666662,122.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,23.35055008333336,21.025630000000035,26.29812000000004,617.0811647779,0.2342909065045833,0.4608947337347222,20.296118347222205,101279.55059027778
