river,year,month,water_fraction,water_pixels,total_pixels
Kaburantwa,2002,1,0.0,0,13842
Kaburantwa,2002,2,,0,0
Kaburantwa,2002,3,,0,0
Kaburantwa,2002,4,0.0,0,1115
Kaburantwa,2002,5,0.0,0,2025
Kaburantwa,2002,6,0.0,0,13844
Kaburantwa,2002,7,0.0,0,812
Kaburantwa,2002,8,0.0,0,2040
Kaburantwa,2002,9,0.0,0,13845
Kaburantwa,2002,10,0.0,0,13746
Kaburantwa,2002,11,0.0,0,13841
Kaburantwa,2002,12,0.0,0,2806
Kaburantwa,2003,1,0.0,0,13845
Kaburantwa,2003,2,0.0,0,6003
Kaburantwa,2003,3,0.0,0,13804
Kaburantwa,2003,4,0.0,0,4761
Kaburantwa,2003,5,,0,0
Kaburantwa,2003,6,,0,0
Kaburantwa,2003,7,0.0,0,9275
Kaburantwa,2003,8,,0,0
Kaburantwa,2003,9,,0,0
Kaburantwa,2003,10,,0,0
Kaburantwa,2003,11,0.0,0,6985
Kaburantwa,2003,12,0.0,0,8942
Kaburantwa,2004,1,,0,0
Kaburantwa,2004,2,0.0,0,12076
Kaburantwa,2004,3,0.0,0,13749
Kaburantwa,2004,4,0.0,0,13801
Kaburantwa,2004,5,0.0,0,23
Kaburantwa,2004,6,0.0,0,9168
Kaburantwa,2004,7,0.0,0,12810
Kaburantwa,2004,8,0.0,0,2051
Kaburantwa,2004,9,0.0,0,13284
Kaburantwa,2004,10,0.0,0,1681
Kaburantwa,2004,11,,0,0
Kaburantwa,2004,12,0.0,0,11928
Kaburantwa,2005,1,0.0,0,12112
Kaburantwa,2005,2,0.0,0,13839
Kaburantwa,2005,3,0.0,0,10790
Kaburantwa,2005,4,0.0,0,12133
Kaburantwa,2005,5,,0,0
Kaburantwa,2005,6,0.0,0,13825
Kaburantwa,2005,7,0.0,0,12162
Kaburantwa,2005,8,,0,0
Kaburantwa,2005,9,0.0,0,6
Kaburantwa,2005,10,0.0,0,12331
Kaburantwa,2005,11,,0,0
Kaburantwa,2005,12,0.0,0,12147
Kaburantwa,2006,1,0.0,0,12921
Kaburantwa,2006,2,0.0,0,11673
Kaburantwa,2006,3,0.0,0,12144
Kaburantwa,2006,4,0.0,0,8
Kaburantwa,2006,5,0.0,0,11807
Kaburantwa,2006,6,,0,0
Kaburantwa,2006,7,0.0,0,12052
Kaburantwa,2006,8,0.0,0,11975
Kaburantwa,2006,9,0.0,0,13613
Kaburantwa,2006,10,0.0,0,12191
Kaburantwa,2006,11,,0,0
Kaburantwa,2006,12,,0,0
Kaburantwa,2007,1,0.0,0,11978
Kaburantwa,2007,2,0.0,0,13596
Kaburantwa,2007,3,0.0,0,11961
Kaburantwa,2007,4,,0,0
Kaburantwa,2007,5,0.0,0,11345
Kaburantwa,2007,6,0.0,0,12204
Kaburantwa,2007,7,0.0,0,11901
