river,year,month,water_fraction,water_pixels,total_pixels
Buzimba,2015,4,0.0,0,13859
Buzimba,2015,5,0.0,0,13857
Buzimba,2015,6,0.0,0,13860
Buzimba,2015,7,0.0,0,13860
Buzimba,2015,8,0.0,0,13860
Buzimba,2015,9,0.0,0,13860
Buzimba,2015,10,0.0,0,13860
Buzimba,2015,11,0.0,0,7989
Buzimba,2015,12,0.0,0,13418
Buzimba,2016,1,0.0,0,9491
Buzimba,2016,2,0.0,0,11383
Buzimba,2016,3,0.0,0,13857
Buzimba,2016,4,,0,0
Buzimba,2016,5,0.0,0,12684
Buzimba,2016,6,0.0,0,13860
Buzimba,2016,7,0.0,0,13860
Buzimba,2016,8,0.0,0,13860
Buzimba,2016,9,0.0,0,13860
Buzimba,2016,10,0.0,0,11574
Buzimba,2016,11,0.0,0,13860
Buzimba,2016,12,0.0,0,4746
Buzimba,2017,1,0.0,0,13831
Buzimba,2017,2,0.0,0,9372
Buzimba,2017,3,0.0,0,13860
Buzimba,2017,4,0.0,0,11252
Buzimba,2017,5,0.0,0,13858
Buzimba,2017,6,0.0,0,13860
Buzimba,2017,7,0.0,0,13860
Buzimba,2017,8,0.0,0,13860
Buzimba,2017,9,0.0,0,11715
Buzimba,2017,10,0.0,0,12800
Buzimba,2017,11,0.0,0,6696
Buzimba,2017,12,0.0,0,10406
Buzimba,2018,1,0.0,0,13858
Buzimba,2018,2,0.0,0,12080
Buzimba,2018,3,0.0,0,13859
Buzimba,2018,4,0.0,0,6602
Buzimba,2018,5,0.0,0,13848
Buzimba,2018,6,0.0,0,13860
Buzimba,2018,7,0.0,0,13860
Buzimba,2018,8,0.0,0,13860
Buzimba,2018,9,0.0,0,13860
Buzimba,2018,10,0.0,0,13173
Buzimba,2018,11,0.0,0,12858
Buzimba,2018,12,0.0,0,9136
Buzimba,2019,1,0.0,0,13551
Buzimba,2019,2,0.0,0,13859
Buzimba,2019,3,0.0,0,13427
Buzimba,2019,4,0.0,0,13856
Buzimba,2019,5,0.0,0,13837
Buzimba,2019,6,0.0,0,13860
Buzimba,2019,7,0.0,0,13860
Buzimba,2019,8,0.0,0,13860
Buzimba,2019,9,0.0,0,13856
