river,year,month,water_fraction,water_pixels,total_pixels
Nyengwe,1990,8,,0,0
Nyengwe,1990,9,0.0,0,59
Nyengwe,1990,10,0.0,0,10948
Nyengwe,1990,11,,0,0
Nyengwe,1990,12,,0,0
Nyengwe,1991,1,,0,0
Nyengwe,1991,2,,0,0
Nyengwe,1991,3,0.0,0,217
Nyengwe,1991,4,,0,0
Nyengwe,1991,5,,0,0
Nyengwe,1991,6,,0,0
Nyengwe,1991,7,,0,0
Nyengwe,1991,8,0.0,0,13539
Nyengwe,1991,9,,0,0
Nyengwe,1991,10,,0,0
Nyengwe,1991,11,,0,0
Nyengwe,1991,12,,0,0
Nyengwe,1992,1,,0,0
Nyengwe,1992,2,,0,0
Nyengwe,1992,3,,0,0
Nyengwe,1992,4,,0,0
Nyengwe,1992,5,,0,0
Nyengwe,1992,6,,0,0
Nyengwe,1992,7,,0,0
Nyengwe,1992,8,0.0,0,11414
Nyengwe,1992,9,,0,0
Nyengwe,1992,10,,0,0
Nyengwe,1992,11,,0,0
Nyengwe,1992,12,,0,0
Nyengwe,1993,1,0.0,0,6
Nyengwe,1993,2,0.0,0,10436
Nyengwe,1993,3,,0,0
Nyengwe,1993,4,,0,0
Nyengwe,1993,5,0.0,0,310
Nyengwe,1993,6,,0,0
Nyengwe,1993,7,0.0,0,13862
Nyengwe,1993,8,0.0,0,13855
Nyengwe,1993,9,0.0,0,13862
Nyengwe,1993,10,,0,0
Nyengwe,1993,11,,0,0
Nyengwe,1993,12,,0,0
Nyengwe,1994,1,,0,0
Nyengwe,1994,2,,0,0
Nyengwe,1994,3,,0,0
Nyengwe,1994,4,0.0,0,10462
Nyengwe,1994,5,0.0,0,2440
Nyengwe,1994,6,,0,0
Nyengwe,1994,7,0.0,0,13220
Nyengwe,1994,8,0.0,0,13860
Nyengwe,1994,9,0.0,0,13764
Nyengwe,1994,10,,0,0
Nyengwe,1994,11,0.0,0,2293
Nyengwe,1994,12,,0,0
Nyengwe,1995,1,0.0,0,11465
Nyengwe,1995,2,0.0,0,5254
Nyengwe,1995,3,0.0,0,13862
Nyengwe,1995,4,0.0,0,12703
Nyengwe,1995,5,,0,0
Nyengwe,1995,6,,0,0
Nyengwe,1995,7,,0,0
Nyengwe,1995,8,0.0,0,13852
Nyengwe,1995,9,0.0,0,13862
Nyengwe,1995,10,,0,0
