river,year,month,ndvi
Nyamagana,2024,4,0.71485
Nyamagana,2024,5,0.6817
Nyamagana,2024,6,0.58305
Nyamagana,2024,7,0.50215
Nyamagana,2024,8,0.46145
Nyamagana,2024,9,0.44645
Nyamagana,2024,10,0.5572
Nyamagana,2024,11,0.6716
Nyamagana,2024,12,0.70355
Nyamagana,2025,1,0.64185
Nyamagana,2025,2,0.72125
Nyamagana,2025,3,0.7524
Nyamagana,2025,4,0.68175
Nyamagana,2025,5,0.68255
Nyamagana,2025,6,0.59695
Nyamagana,2025,7,0.5268
Nyamagana,2025,8,0.454
Nyamagana,2025,9,0.4172
Nyamagana,2025,10,0.4594
Nyamagana,2025,11,0.57035
Nyamagana,2025,12,0.6599
