river,year,month,ndvi
Rusizi,2022,8,0.46515
Rusizi,2022,9,0.472
Rusizi,2022,10,0.4464
Rusizi,2022,11,0.6161
Rusizi,2022,12,0.819
Rusizi,2023,1,0.8279
Rusizi,2023,2,0.74705
Rusizi,2023,3,0.69075
Rusizi,2023,4,0.7907
Rusizi,2023,5,0.7237
Rusizi,2023,6,0.6311
Rusizi,2023,7,0.58355
Rusizi,2023,8,0.42465
Rusizi,2023,9,0.5579
Rusizi,2023,10,0.7112
Rusizi,2023,11,0.82465
Rusizi,2023,12,0.82155
Rusizi,2024,1,0.54505
Rusizi,2024,2,0.80525
Rusizi,2024,3,0.82725
Rusizi,2024,4,0.7879
Rusizi,2024,5,0.72295
Rusizi,2024,6,0.7131
Rusizi,2024,7,0.6002
Rusizi,2024,8,0.4924
Rusizi,2024,9,0.5568
Rusizi,2024,10,0.72815
Rusizi,2024,11,0.7342
Rusizi,2024,12,0.7253
Rusizi,2025,1,0.8448
Rusizi,2025,2,0.8226
Rusizi,2025,3,0.8136
Rusizi,2025,4,0.7832
Rusizi,2025,5,0.76745
Rusizi,2025,6,0.5373
Rusizi,2025,7,0.5894
Rusizi,2025,8,0.54065
Rusizi,2025,9,0.44165
Rusizi,2025,10,0.6017
Rusizi,2025,11,0.74945
Rusizi,2025,12,0.59765
