date,river,raw_water_level
2019-10-01,Mutimbuzi,0.8774193548387098
2019-11-01,Mutimbuzi,1.0633333333333337
2019-12-01,Mutimbuzi,1.597741935483871
2020-01-01,Mutimbuzi,2.6158064516129027
2020-02-01,Mutimbuzi,2.951724137931034
2020-03-01,Mutimbuzi,3.0022580645161288
2020-04-01,Mutimbuzi,2.815666666666667
2020-05-01,Mutimbuzi,2.881935483870967
2020-06-01,Mutimbuzi,2.644
2020-07-01,Mutimbuzi,2.5106451612903227
2020-08-01,Mutimbuzi,2.1670967741935483
2020-09-01,Mutimbuzi,2.2376666666666667
2020-10-01,Mutimbuzi,2.3122580645161293
2020-11-01,Mutimbuzi,2.507333333333333
2020-12-01,Mutimbuzi,2.4945161290322586
2021-01-01,Mutimbuzi,2.662903225806452
2021-02-01,Mutimbuzi,2.708928571428572
2021-03-01,Mutimbuzi,2.643548387096774
2021-04-01,Mutimbuzi,2.672
2021-05-01,Mutimbuzi,2.802258064516129
2021-06-01,Mutimbuzi,2.608333333333334
2021-07-01,Mutimbuzi,2.4603225806451614
2021-08-01,Mutimbuzi,2.2219354838709675
2021-09-01,Mutimbuzi,2.443666666666666
2021-10-01,Mutimbuzi,2.5022580645161296
2021-11-01,Mutimbuzi,2.356
2021-12-01,Mutimbuzi,2.297096774193548
2022-01-01,Mutimbuzi,1.392903225806452
2022-02-01,Mutimbuzi,1.4721428571428574
2022-03-01,Mutimbuzi,1.574516129032258
2022-04-01,Mutimbuzi,1.7506666666666666
2022-05-01,Mutimbuzi,1.9038709677419352
2022-06-01,Mutimbuzi,1.7003333333333337
2022-07-01,Mutimbuzi,1.4983870967741937
2022-08-01,Mutimbuzi,1.2519354838709678
2022-09-01,Mutimbuzi,1.0799999999999998
2022-10-01,Mutimbuzi,0.9351612903225808
2022-11-01,Mutimbuzi,0.9833333333333332
2022-12-01,Mutimbuzi,1.219354838709677
2023-01-01,Mutimbuzi,1.359032258064516
2023-02-01,Mutimbuzi,1.403214285714286
2023-03-01,Mutimbuzi,1.6112903225806448
2023-04-01,Mutimbuzi,2.065333333333333
2023-05-01,Mutimbuzi,2.326774193548387
2023-06-01,Mutimbuzi,2.010333333333333
2023-07-01,Mutimbuzi,1.7800000000000002
2023-08-01,Mutimbuzi,1.5506451612903225
2023-09-01,Mutimbuzi,1.4089655172413793
