river,year,month,water_level,runoff,temp_max_observed,temp_min_observed,precip_observed,temp_source,precip_source,era5_grid,era5_t2m_mean,era5_t2m_min,era5_t2m_max,era5_tp_sum,era5_u10_mean,era5_v10_mean,era5_d2m_mean,era5_msl_mean,temp_max_imputed,temp_min_imputed,precip_bias_factor,precip_imputed,ndvi,water_level_imputed_v2,wl_imputed_v2,water_level_m
Buzimba,2000,6,1.6346666666666665,3.09,30.583333333333336,16.76666666666667,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.65520387500004,16.891080000000045,24.578100000000006,86.11679121562,0.2052996954934722,0.6614730031016667,16.413143819444485,101462.165375,False,False,0.2550133648657899,False,0.439063044802131,1.6346666666666665,False,771.166
Nyakagunda,2000,6,,,27.944800000000043,13.632530000000031,1.2925501012149003,MPARAMBO,MPARAMBO,grid_m2.75_29.00,19.76157901388893,13.632530000000031,27.944800000000043,0.64754485996,-1.592500324361111,1.1985362635102776,9.349729361111144,101480.49138194443,True,True,1.9960780806672505,True,0.388303917609812,0.389531612903226,True,771.166
Nyengwe,2000,6,,2.4,30.583333333333336,16.76666666666667,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.9936264166667,21.14193,25.6318,37.8208160457,1.0295849051458332,0.37220298401625,16.865352361111093,101386.6724236111,False,False,0.3658537084356579,False,0.5507013412860005,0.6943766163284382,True,771.166
Nyakagunda,2000,7,,,27.90300000000002,13.11940000000004,0.0799515524236393,MPARAMBO,MPARAMBO,grid_m2.75_29.00,19.662914569892507,13.11940000000004,27.90300000000002,0.04005432112,-1.3660836980672044,1.019592019166398,7.529850188172077,101416.05022849464,True,True,1.9960780806672505,True,0.357644562930102,0.383523387096774,True,770.908
Kaburantwa,2000,7,,0.12,31.032560000000046,13.92935,0.002105535044318,MPARAMBO,MPARAMBO,grid_m3.00_29.25,22.08058174731184,13.92935,31.032560000000046,0.0009536743,0.5009699175519221,1.1427176479973118,9.240950416666692,101349.6599327957,True,True,2.207813552612297,True,0.499812633780891,1.4907181212001157,True,770.908
Jiji,2000,7,0.4912903225806452,,21.29032258064516,7.1571428571428575,3.7,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.75,19.094985981182845,13.169500000000028,26.4948,1.87301634994,-0.5664522736334677,1.1389137776606453,9.257391491935492,101495.11323924732,False,False,0.7469623692808592,False,0.5725193006403475,0.4912903225806452,False,770.908
Mulembwe,2000,7,0.562258064516129,1.57,21.29032258064516,7.1571428571428575,3.7,MPOTA (Tora),MPOTA (Tora),grid_m4.00_29.50,20.33928673387095,16.00567000000001,25.509730000000047,8.2783698868,0.1045275453518145,0.9020002428808682,14.47790068548386,101405.74093413976,False,False,0.3376177859350189,False,0.3623092694335825,0.562258064516129,False,770.908
Rusizi,2000,7,,,29.6258064516129,17.116129032258065,0.0,BUJUMBURA (Aeroport),BUJUMBURA (Aeroport),grid_m3.25_29.25,23.45066997311829,14.573880000000033,32.01302000000004,0.0,0.9371730839583334,1.7486996204438574,10.601289045698934,101327.66279569893,False,False,1.5043629271954442,False,0.4343872360636975,2.2423999999999995,True,770.908
Buzimba,2000,7,1.5954838709677417,1.57,29.92903225806452,15.606451612903228,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.00_29.50,20.33928673387095,16.00567000000001,25.509730000000047,8.2783698868,0.1045275453518145,0.9020002428808682,14.47790068548386,101405.74093413976,False,False,0.2550133648657899,False,0.400694603749975,1.5954838709677417,False,770.908
Nyengwe,2000,7,,0.9,29.92903225806452,15.606451612903228,0.0,NYANZA LAC (IRAT),NYANZA LAC (IRAT),grid_m4.25_29.50,22.599212244623686,20.410360000000026,25.677700000000016,3.31830978266,0.7163557631658602,0.6726760657532258,14.73433004032256,101341.00973790324,False,False,0.3658537084356579,False,0.483062941801429,0.4781196184412541,True,770.908
